average,bypass,deaths,density,injuries,location,Latitude,longitude,outlier_mask,yield
422755,0,139700,5000,191360,"Liaoyuan, JL China  ",,,FALSE,100
422755,0,68660,5000,145180,"Zhangjiaggang-Jiangyin, (Suzhou-Wuxi) JS China  ",,,FALSE,100
422755,0,214720,5000,560340,Monterrey Mexico  ,-33.5258224,-70.5807738,FALSE,100
422755,0,158940,5000,196310,Oaxaca,17,-96.5,FALSE,100
422755,0,117030,5000,234790,Mexicali Mexico  ,32.6248622,-115.448325,FALSE,100
422755,0,88320,5000,61510,"Shizuishan, NX China  ",,,FALSE,100
422755,0,104650,5000,135720,"Dongying, SD China  ",,,FALSE,100
422755,0,158890,5000,314870,Santos Brazil  ,-23.960833,-46.333889,FALSE,100
422755,0,150570,5000,230220,Uberlandia Brazil  ,-18.9188041,-48.2767837,FALSE,100
422755,0,78220,5000,86500,Murmansk Russia  ,68.970665,33.07497,FALSE,100
422755,0,196900,5000,354590,Barquisimeto,10.0740372,-69.3215667,FALSE,100
422755,0,120190,5000,189790,Leicester United Kingdom  ,52.6361398,-1.1330789,FALSE,100
422755,0,81310,5000,150980,Cardiff United Kingdom  ,51.4816546,-3.1791934,FALSE,100
422755,0,143370,5000,195980,"Shaoguan, GD China  ",,,FALSE,100
422755,0,90330,5000,107920,Luton United Kingdom  ,51.89107295,-0.423030408,FALSE,100
422755,0,47900,5000,85400,Oxford United Kingdom  ,51.7520131,-1.2578499,FALSE,100
422755,0,502280,5000,684990,"Wuxi, JS China  ",,,FALSE,100
422755,0,164520,5000,314230,Joao Pessoa Brazil  ,-7.1215981,-34.882028,FALSE,100
422755,0,108410,5000,175950,Tomsk Russia  ,56.488712,84.952324,FALSE,100
422755,0,98730,5000,144340,Wakayama Japan  ,33.8070292,135.5930743,FALSE,100
614131,0,158890,6000,314870,Santos Brazil  ,-23.960833,-46.333889,FALSE,100
614131,0,45090,6000,232840,"Liaoyang, LN China  ",41.273887,123.1693463,FALSE,100
614131,0,117970,6000,540650,Rawalpindi-Islamabad Pakistan  ,33.5914237,73.0535122,FALSE,100
614131,0,214360,6000,525780,Bucharest Romania  ,44.4361414,26.1027202,FALSE,100
614131,0,168170,6000,219770,"Patiala, HR India  ",30.3899387,76.7803244,FALSE,100
614131,0,227820,6000,418950,tianshan Urumqi,43.7924631,87.6301682,FALSE,100
614131,0,102280,6000,120910,Smolensk Russia  ,54.77897005,32.04718122,FALSE,100
614131,0,75390,6000,86650,"Gaoyou (Yangzhou), JS China  ",,,TRUE,100
614131,0,140500,6000,539490,Fortaleza Brazil  ,-3.7304512,-38.5217989,FALSE,100
614131,0,288530,6000,872100,Santiago Chile  ,-33.4377968,-70.6504451,FALSE,100
614131,0,194720,6000,356630,Tainan Taiwan  ,22.9912348,120.184982,FALSE,100
614131,0,272230,6000,562160,Minsk Belarus  ,53.902334,27.5618791,FALSE,100
614131,0,193610,6000,308060,Tbilisi Georgia  ,41.6934591,44.8014495,FALSE,100
614131,0,259040,6000,891530,London United Kingdom,51.5073219,-0.1276474,FALSE,100
614131,0,202050,6000,254250,Antalya Turkey  ,36.9009641,30.6954846,FALSE,100
614131,0,104650,6000,135720,"Dongying, SD China  ",,,FALSE,100
614131,0,157620,6000,183940,"Jixi, HL China  ",,,FALSE,100
614131,0,164520,6000,314230,Joao Pessoa Brazil  ,-7.1215981,-34.882028,FALSE,100
614131,0,154390,6000,308240,Sofia Bulgaria  ,42.6978634,23.3221789,FALSE,100
614131,0,129970,6000,234530,Ribeirao Preto Brazil  ,-21.178333,-47.8066671,FALSE,100
614131,0,181220,6000,294430,Kingston Jamaica  ,17.9712148,-76.7928128,FALSE,100
614131,0,424580,6000,1193700,Bangkok Thailand  ,13.7538929,100.8160803,FALSE,100
614131,0,162360,6000,183010,"Linfen, SAX China  ",,,FALSE,100
614131,0,298470,6000,441190,Kut al Hajjal Basra,,,FALSE,100
614131,0,42030,6000,131450,"Qingyuan, GD China  ",,,FALSE,100
614131,0,765540,6000,1641030,"Tianjin, China  ",39.3032619,117.4163641,FALSE,100
614131,0,66590,6000,120660,"Rizhao, SD China  ",,,FALSE,100
614131,0,436320,6000,546920,"Rep De Chile, Leon Mexico",25.7570748,-100.2490905,FALSE,100
614131,0,175050,6000,195590,"Jiaxing, ZJ China  ",30.7474425,120.7510971,FALSE,100
614131,0,134470,6000,196220,"Shizuoka city, Japan",34.9332488,138.0955398,FALSE,100
544443.56,0,97630,7000,108150,"Udon Thani, Thailand  ",17.5211917,102.6680012,,100
544443.56,0,335690,7000,695480,"Taiyuan, SAX China  ",,,,100
544443.56,0,232360,7000,383290,"Kaduna, Nigeria",10.3825318,7.8533226,,100
544443.56,0,132320,7000,176980,"Ezhou, HUB China  ",28.912666,112.765774,,100
544443.56,0,144070,7000,202360,"Lianyungang, JS China  ",,,,100
544443.56,0,83620,7000,211900,"Taizhou, ZJ China  ",32.4614944,119.913445,,100
544443.56,0,22810,7000,101420,"Pizhou (Xuxhou), JS China  ",,,,100
544443.56,0,207540,7000,190540,Faso Bobo-Dioulasso Burkina  ,11.1719272,-4.3540333,,100
544443.56,0,464790,7000,642510,"La Paz, Bolivia  ",-16.4955455,-68.1336229,,100
544443.56,0,220270,7000,622640,Kaohsiung Taiwan  ,22.6203348,120.3120375,,100
544443.56,0,742120,7000,1666790,"Hyderabad, India  ",17.38878595,78.46106473,,100
544443.56,0,151050,7000,454920,San Salvador El Salvador  ,13.6989939,-89.1914249,,100
544443.56,0,213200,7000,375880,"Toluca, Mexico  ",19.292545,-99.6569007,,100
544443.56,0,41420,7000,106030,Blumenau Brazil  ,-26.9195567,-49.0658025,,100
544443.56,0,142310,7000,318340,Santiago Cuba  ,21.6954843,-82.7367695,,100
544443.56,0,79210,7000,32180,Guinea Malabo Equitorial,,,,100
544443.56,0,25570,7000,25560,"Berat, Albania  ",40.7018636,19.9580758,,100
544443.56,0,169090,7000,234650,Jambi Indonesia  ,-1.611572,102.779699,,100
544443.56,0,51770,7000,242550,"Raurkela, India  ",22.239252,84.81658285,,100
0,1,1170,7000,8570,"Kaduna, Nigeria  ",10.3825318,7.8533226,,100
544443.56,0,202200,7000,273190,"Bacolod, Philippines  ",10.6762836,122.9513786,,100
544443.56,0,99120,7000,402640,"Ankara, Turkey",39.9207774,32.854067,,100
544443.56,0,350140,7000,385330,"Dandong, China  ",40.5791477,124.4407146,,100
544443.56,0,228590,7000,190180,"Xalapa, Mexico  ",19.5408338,-96.9146374,,100
544443.56,0,483740,7000,587190,"Shantou, GD China  ",,,,100
544443.56,0,211110,7000,374780,"Toluca, Mexico  ",19.292545,-99.6569007,,100
544443.56,0,252130,7000,712420,Amman Jordan  ,31.9515694,35.9239625,,100
544443.56,0,82170,7000,135700,"Guigang, GX China  ",,,,100
544443.56,0,173050,7000,231380,"Chisinau, Moldova  ",47.0244707,28.8322534,,100
544443.56,0,90550,7000,148420,"Zhucheng (Weifang), SD China  ",,,,100
544443.56,0,202140,7000,241250,"Veracruz, Mexico  ",19.333333,-96.666667,,100
544443.56,0,213690,7000,257630,"Taian, SD China  ",,,,100
638005.7,0,124320,8000,168010,"Daqing, HL China  ",,,FALSE,100
638005.7,0,198310,8000,233140,Kirkuk Iraq  ,35.4701099,44.3964846,FALSE,100
638005.7,0,251270,8000,311540,Queretaro Mexico  ,20.8542575,-99.84756,FALSE,100
638005.7,0,75640,8000,96990,"Pinghu (Jiaxing), ZJ China  ",30.6782402,121.0116196,FALSE,100
638005.7,0,32480,8000,84580,"Anyang, HEN China  ",,,FALSE,100
638005.7,0,206990,8000,634430,Bamako Mali  ,12.60503275,-7.986513673,FALSE,100
638005.7,0,261960,8000,1110160,Iolio City Philippines  ,,,FALSE,100
638005.7,0,186900,8000,286030,"Fuxin, LN China  ",42.0151733,121.6452868,TRUE,100
638005.7,0,464420,8000,500150,Niamey Niger  ,13.524834,2.109823,FALSE,100
638005.7,0,240940,8000,184880,"Luzhou, SC China  ",28.9154328,105.412011,FALSE,100
638005.7,0,733160,8000,1810390,"Bangalore, India",12.9791198,77.5912997,FALSE,100
638005.7,0,504190,8000,1210880,"Chongqing, CQ China  ",,,FALSE,100
638005.7,0,224280,8000,270660,"Zigong, SC China  ",29.3409572,104.7749753,FALSE,100
638005.7,0,47650,8000,121920,Sekondi Takoradi Ghana  ,4.927456,-1.7490216,FALSE,100
638005.7,0,225520,8000,241460,Cancun Mexico  ,21.1617854,-86.8510468,FALSE,100
638005.7,0,157610,8000,218310,Genoa Italy  ,44.40726,8.9338624,FALSE,100
638005.7,0,109560,8000,469560,Medan Indonesia  ,3.5896654,98.6738261,FALSE,100
638005.7,0,96190,8000,103730,"Xinyu, JX China  ",,,FALSE,100
638005.7,0,245900,8000,241510,Coast Bouake Ivory  ,,,FALSE,100
638005.7,0,231450,8000,268850,"Santiago, Dominican Republic  ",19.4502926,-70.6906112,FALSE,100
638005.7,0,194050,8000,263880,Maceio Brazil  ,-9.6476843,-35.7339264,FALSE,100
638005.7,0,239840,8000,215420,"Kandahar Ghazi Park Kandahar, Afghanistan  ",31.60949275,65.69091171,FALSE,100
638005.7,0,610810,8000,1213680,Addis Ababa Ethiopia  ,9.0107934,38.7612525,FALSE,100
638005.7,0,171270,8000,188990,Likasi Congo  ,-11.6315018,27.5182743,FALSE,100
638005.7,0,173780,8000,281110,Cucuta Colombia  ,7.8971458,-72.5080387,FALSE,100
638005.7,0,273130,8000,539930,Shiraz Iran  ,29.6060218,52.5378041,FALSE,100
638005.7,0,87200,8000,233180,Abeokuta Nigeria  ,7.161,3.348,FALSE,100
638005.7,0,248600,8000,235540,Nyala Sudan  ,12.2809691,24.7741672,FALSE,100
638005.7,0,120790,8000,268830,Blantyre Malawi  ,-15.7862543,35.0035694,FALSE,100
638005.7,0,157590,8000,236630,"Jining, SD China  ",,,FALSE,100
586558.56,0,454110,9000,682180,"Nanning, GX China  ",,,FALSE,100
586558.56,0,211660,9000,444490,"Tangshan, HEB China  ",,,FALSE,100
586558.56,0,327010,9000,1295980,Mexico City Mexico  ,19.4326009,-99.1333416,FALSE,100
586558.56,0,114200,9000,217880,"Akola, MH India  ",20.77031765,77.19080604,FALSE,100
586558.56,0,131000,9000,219880,"Chaoyang-Chaonan (Shantou,) GD China  ",,,FALSE,100
0,1,2060,9000,4610,Herat Afghanistan  ,34.3508273,62.2164003,FALSE,100
586558.56,0,356350,9000,590240,"Coimbatore, TN India  ",11.0018115,76.9628425,FALSE,100
586558.56,0,46150,9000,62270,"Wuhu, AH China  ",31.3536127,118.4277477,TRUE,100
586558.56,0,184260,9000,125070,Bago Myanmar  ,17.336667,96.479722,FALSE,100
586558.56,0,165670,9000,314570,"Rajahmundry, AP India  ",17.0050454,81.7804732,FALSE,100
586558.56,0,179900,9000,153890,"Yining, China  ",43.9052027,81.2747797,FALSE,100
586558.56,0,129700,9000,278910,Konya Turkey  ,37.8719963,32.4844015,FALSE,100
586558.56,0,316050,9000,489410,Makassar Indonesia  ,-5.1342962,119.4124282,FALSE,100
586558.56,0,215350,9000,328190,"Guilin, GX China  ",,,FALSE,100
586558.56,0,190640,9000,136190,Tetouan Morocco  ,35.57413995,-5.365255754,FALSE,100
0,1,20,9000,110,Wahran Algeria  ,35.5428186,-0.3421804,FALSE,100
586558.56,0,296490,9000,303260,Trujillo Peru  ,-8.1116778,-79.0287742,FALSE,100
586558.56,0,74400,9000,166100, Uyo Nigeria  ,5.0322447,7.924791,FALSE,100
586558.56,0,360310,9000,553100,"Jilin, JL China  ",,,FALSE,100
586558.56,0,20340,9000,36910,Mayotte Mamoudzou France  ,-12.7821763,45.2214334,FALSE,100
586558.56,0,139570,9000,86200,Sucre Bolivia  ,-19.0477251,-65.2594306,FALSE,100
586558.56,0,270810,9000,394930,San Luis Potosí Mexico  ,22.5000001,-100.5000001,FALSE,100
586558.56,0,283440,9000,690980,Santo Domingo Dominican Republic  ,18.4801972,-69.942111,FALSE,100
586558.56,0,218640,9000,192280,Hamadan Iran  ,34.7990866,48.5148169,FALSE,100
586558.56,0,183610,9000,263830,Ulsan South Korea  ,35.5391697,129.3119136,FALSE,100
586558.56,0,296320,9000,586690,"Guiyang, GZ China  ",,,FALSE,100
586558.56,0,74500,9000,132700,"Yizing (Wuxi), JS China  ",,,FALSE,100
586558.56,0,224250,9000,292640,Kigali Rwanda  ,-1.8859597,30.1296751,FALSE,100
586558.56,0,220340,9000,322520,Bandar Lampung Indonesia  ,-5.4460713,105.2643742,FALSE,100
586558.56,0,510250,9000,867030,Caracas Venezuela,10.506098,-66.9146017,FALSE,100
565150,0,392530,10000,580790,Rabat Morocco  ,34.022405,-6.834543,FALSE,100
565150,0,60700,10000,67900,"Yiyang, HUN China  ",,,FALSE,100
565150,0,327010,10000,1295980,Mexico City Mexico  ,19.4326009,-99.1333416,FALSE,100
565150,0,283440,10000,690980,"Santo Domingo, Dominican Republic  ",18.4801972,-69.942111,FALSE,100
565150,0,65430,10000,137890,"Tengzhou (Zhaoahuang), SD China  ",,,FALSE,100
0,1,1090,10000,5220, Aba Nigeria  ,5.112735,7.364349,FALSE,100
0,1,92710,10000,417210,Colombo Sri Lankha  ,,,FALSE,100
565150,0,335170,10000,740760,Izmir Turkey  ,38.4153421,27.144474,TRUE,100
565150,0,317140,10000,376390,"Qiqihaer, HL China  ",,,FALSE,100
565150,0,74500,10000,132700,"Yizing (Wuxi), JS China  ",,,FALSE,100
565150,0,392160,10000,635150,"Ludhiana, PB India  ",30.9090157,75.851601,FALSE,100
565150,0,114200,10000,217880,"Akola, MH India  ",20.77031765,77.19080604,FALSE,100
565150,0,224250,10000,292640,Kigali Rwanda  ,-1.8859597,30.1296751,FALSE,100
565150,0,7970,10000,32650,"Huainan, AH China  ",32.5866826,117.0130019,FALSE,100
565150,0,220340,10000,230290,"Yangquan, SAX China  ",,,FALSE,100
565150,0,407150,10000,613070,"Wenzhou, ZJ China  ",24.14549,117.660807,FALSE,100
565150,0,218640,10000,192280,Hamadan Iran  ,34.7990866,48.5148169,FALSE,100
565150,0,428960,10000,1098220,Seoul-Incheon South Korea  ,37.44032425,126.7354005,FALSE,100
565150,0,59030,10000,86180,Lobito Angola  ,-12.3506867,13.5464318,FALSE,100
565150,0,163230,10000,338650,"Mangalore, KA India  ",12.8698101,74.8430082,FALSE,100
565150,0,20340,10000,36910,Mayotte Mamoudzou France  ,-12.7821763,45.2214334,FALSE,100
0,1,1290,10000,5830,Balikpapan Indonesia  ,-1.2398711,116.8593379,FALSE,100
565150,0,145770,10000,115410,Bamenda Cameroon  ,5.9614117,10.1516505,FALSE,100
565150,0,167960,10000,145080,Kolwezi Congo  ,-11.6402047,27.5182003,FALSE,100
565150,0,187580,10000,159070,Huambo Angola  ,-12.7765392,15.7320468,FALSE,100
565150,0,145900,10000,250130,Changwon South Korea  ,35.227956,128.6818586,FALSE,100
565150,0,134000,10000,151270,"Yichun, JX China  ",,,FALSE,100
565150,0,190640,10000,136190,Tetouan Morocco  ,35.57413995,-5.365255754,FALSE,100
565150,0,510250,10000,867030,Caracas Venezuela,10.506098,-66.9146017,FALSE,100
